"from","to","weight"
"chipmunk","squirrel",0.0425531914893617
"clam","clam",1
"clam","fly",0.125
"clam","jellyfish",0.142857142857143
"clam","lobster",0.2
"clam","oyster",0.333333333333333
"clam","platypus",0.1
"clam","ram",0.25
"clam","shrimp",0.0909090909090909
"clownfish","clownfish",1
"clownfish","fly",0.111111111111111
"clownfish","liger",0.142857142857143
"clownfish","peacock",0.166666666666667
"cougar","cougar",1
"cougar","jaguar",0.173913043478261
"cougar","panther",0.25
"cow","cow",1
"cow","dog",0.383673469387755
"cow","duck",0.156521739130435
"cow","frog",0.2265625
"cow","goat",0.271929824561404
"cow","goose",0.0934579439252336
"cow","hare",0.0412371134020619
"cow","horse",0.428571428571429
"cow","moose",0.185185185185185
"cow","pig",0.480314960629921
"cow","sheep",0.222222222222222
"coyote","coyote",1
"coyote","crow",0.0714285714285714
"coyote","raccoon",0.09375
"crab","crab",1
"crab","jellyfish",0.266666666666667
"crab","oyster",0.0714285714285714
"crab","shrimp",0.210526315789474
"crab","stingray",0.0588235294117647
"crab","whale",0.0461538461538462
"cricket","cricket",1
"cricket","worm",0.125
"crocodile","crocodile",1
"crocodile","frog",0.136986301369863
"crow","crow",1
"crow","grasshopper",0.153846153846154
"crow","hornet",0.125
"crow","raccoon",0.0303030303030303
"crow","sea",0.1
"deer","deer",1
"deer","dog",0.246963562753036
"deer","eagle",0.119047619047619
"deer","fox",0.130952380952381
"deer","mouse",0.213740458015267
"deer","owl",0.125
"deer","skunk",0.072463768115942
"deer","wolf",0.166666666666667
"dinosaur","dinosaur",1
"dinosaur","donkey",0.1
"dinosaur","pig",0.0404040404040404
"dinosaur","spider",0.075
"dive","dive",1
"dive","goldfish",0.2
"dive","grasshopper",0.1
"dive","ladybug",0.142857142857143
"dive","lamb",0.111111111111111
"dive","raccoon",0.0344827586206897
"dive","raven",0.2
"dive","rooster",0.0909090909090909
"dive","salamander",0.125
"dog","dog",1
"dog","duck",0.138211382113821
"dog","elephant",0.512
"dog","ferret",0.0905349794238683
"dog","fish",0.508130081300813
"dog","fox",0.123456790123457
"dog","giraffe",0.474103585657371
"dog","gorilla",0.135245901639344
"dog","hamster",0.193415637860082
"dog","horse",0.416326530612245
"dog","lion",0.644268774703557
"dog","lizard",0.253061224489796
"dog","monkey",0.404761904761905
"dog","mouse",0.381147540983607
"dog","pig",0.361788617886179
"dog","rat",0.270491803278689
"dog","rhino",0.122950819672131
"dog","snake",0.443548387096774
"dog","spider",0.127049180327869
"dog","wolf",0.126530612244898
"dolphin","dolphin",1
"dolphin","fish",0.219178082191781
"dolphin","otter",0.0967741935483871
"dolphin","seal",0.137931034482759
"dolphin","shark",0.313253012048193
"dolphin","whale",0.329113924050633
"donkey","donkey",1
"donkey","horse",0.145454545454545
"donkey","pig",0.117647058823529
"donkey","spider",0.102040816326531
"dragon","dragon",1
"dragon","gecko",0.125
"dragon","red",0.333333333333333
"dragon","tarantula",0.25
"duck","duck",1
"duck","goose",0.318181818181818
"duck","hog",0.0256410256410256
"duck","pig",0.172727272727273
"duck","swan",0.157894736842105
"eagle","eagle",1
"eagle","groundhog",0.0588235294117647
"eagle","hawk",0.15625
"eagle","mouse",0.128440366972477
"eagle","owl",0.125
"eagle","wolf",0.169811320754717
"eel","eel",1
"elephant","elephant",1
"elephant","giraffe",0.488636363636364
"elephant","hippo",0.134751773049645
"elephant","rhino",0.160839160839161
"elk","elk",1
"elk","goose",0.0625
"elk","moose",0.25
"elk","pig",0.0294117647058824
"emu","emu",1
"emu","gecko",0.25
"emu","robin",0.166666666666667
"falcon","falcon",1
"falcon","grasshopper",0.1
"falcon","ladybug",0.142857142857143
"falcon","possum",0.0625
"falcon","toucan",0.25
"ferret","ferret",1
"ferret","fish",0.12781954887218
"ferret","hamster",0.15
"fish","fish",1
"fish","hamster",0.198630136986301
"fish","horse",0.341040462427746
"fish","shark",0.280821917808219
"fish","turtle",0.171232876712329
"fish","whale",0.236486486486486
"flamingo","flamingo",1
"flamingo","ostrich",0.125
"flamingo","seal",0.0689655172413793
"flamingo","whale",0.0294117647058824
"fly","fly",1
"fly","liger",0.0909090909090909
"fly","peacock",0.1
"fly","ram",0.111111111111111
"fox","fox",1
"fox","skunk",0.114285714285714
"fox","wolf",0.235294117647059
"frog","frog",1
"frog","horse",0.240601503759398
"gazelle","gazelle",1
"gazelle","human",0.0833333333333333
"gazelle","mountain",0.142857142857143
"gazelle","roach",0.0909090909090909
"gazelle","toad",0.111111111111111
"gazelle","worm",0.1
"gecko","gecko",1
"gecko","red",0.1
"gecko","robin",0.125
"gecko","tarantula",0.142857142857143
"gerbil","gerbil",1
"gerbil","hippopotamus",0.166666666666667
"gerbil","kitten",0.142857142857143
"gerbil","shrimp",0.0714285714285714
"giraffe","giraffe",1
"giraffe","hippo",0.109489051094891
"giraffe","lizard",0.224358974358974
"giraffe","parrot",0.122302158273381
"giraffe","rabbit",0.204081632653061
"giraffe","rhino",0.17037037037037
"giraffe","snail",0.0763358778625954
"giraffe","snake",0.382857142857143
"goat","goat",1
"goat","pig",0.205128205128205
"goat","sheep",0.307692307692308
"goldfish","goldfish",1
"goldfish","grasshopper",0.1
"goldfish","guinea",0.0909090909090909
"goldfish","ladybug",0.142857142857143
"goldfish","lamb",0.111111111111111
"goldfish","pony",0.2
"goldfish","rooster",0.0909090909090909
"goldfish","starfish",0.111111111111111
"goldfish","wale",0.25
"goose","goose",1
"goose","hare",0.0833333333333333
"goose","moose",0.152173913043478
"goose","pig",0.0970873786407767
"goose","swan",0.12
"gorilla","gorilla",1
"gorilla","human",0.05
"gorilla","lion",0.137362637362637
"gorilla","monkey",0.178861788617886
"gorilla","seagull",0.0487804878048781
"grasshopper","grasshopper",1
"grasshopper","hornet",0.111111111111111
"grasshopper","iguana",0.0588235294117647
"grasshopper","ladybug",0.3
"grasshopper","possum",0.1
"grasshopper","raccoon",0.0606060606060606
"grasshopper","sea",0.0909090909090909
"grizzly","grizzly",1
"grizzly","human",0.111111111111111
"groundhog","groundhog",1
"groundhog","owl",0.032258064516129
"groundhog","wildebeest",0.125
"guinea","guinea",1
"guinea","starfish",0.0666666666666667
"guinea","wale",0.1
"hamster","hamster",1
